id,count
1379,209.29207
1380,210.96964
1381,116.359856
1384,189.17589
1390,218.1773
1393,219.11255
1395,
1399,220.43648
1400,108.96112
1401,123.463936
1404,213.39955
1408,99.10363
1409,16.47358
1413,202.26665
1416,222.1173
1418,134.44313
1423,92.34186
1424,66.98432
1425,63.43807
1433,246.15514
1434,183.78773
1436,226.45432
1442,210.9166
1444,77.799736
1445,184.03722
1452,226.84525
1455,204.82764
1462,
1467,20.341719
1472,86.230415
1475,126.36719
1493,166.46971
1501,206.82628
1503,230.04543
1504,237.42567
1505,71.14678
1511,236.64558
1512,
1513,171.12135
1514,118.93812
1528,240.25647
1533,250.56715
1534,76.392815
1536,193.23851
1537,71.115654
1539,82.503365
1550,187.95772
1552,197.5402
1554,211.0514
1555,234.54243
1556,34.934284
1559,74.77698
1563,228.76154
1566,215.85027
1567,93.7458
1568,95.30922
1571,210.85887
1572,82.25797
1574,
1577,105.72947
1583,42.59917
1585,101.825294
1586,207.92049
1587,215.74371
1596,196.04228
1602,69.355736
1604,93.815544
1605,77.60895
1610,234.74844
1611,139.37617
1616,95.90416
1617,145.33936
1618,75.86317
1622,58.485268
1623,63.197712
1628,232.64534
1631,76.36161
1632,219.17384
1633,211.0288
1634,229.56139
1636,218.10352
1637,168.94023
1643,102.403275
1644,155.37053
1646,127.00332
1648,203.78526
1651,85.527885
1656,65.33662
1658,166.04524
1659,83.49702
1665,98.38964
1666,162.88554
1670,115.231926
1674,180.96751
1679,234.61525
1680,226.06804
1683,242.8543
1686,70.30357
1691,146.12254
1693,73.401085
1696,97.646385
1697,122.45687
1703,104.665535
1706,74.59574
1709,209.35568
1710,88.93263
1712,
1713,181.72862
1718,238.2313
1719,210.95961
1722,225.5311
1723,181.93523
1724,227.94087
1728,68.050995
1730,106.18563
1732,75.19831
1737,64.31885
1745,64.94851
1747,94.66599
1748,100.75741
1755,135.374
1759,103.27499
1761,221.20877
1764,198.52058
1765,199.1191
1766,62.333805
1768,73.42772
1770,94.66779
1771,181.8028
1774,121.745224
1785,181.78499
1788,238.96301
1792,87.50933
1794,207.15889
1797,156.99649
1798,70.904434
1799,244.68767
1802,149.85796
1806,76.61229
1808,95.4541
1810,221.91135
1818,26.46832
1819,241.14827
1820,236.56847
1822,200.62384
1826,228.07971
1827,207.12444
1835,101.772644
1841,145.25833
1842,144.99701
1843,117.587395
1846,67.31921
1849,73.8491
1850,247.82645
1851,129.63474
1857,
1858,182.55229
1860,127.13673
1861,218.0158
1864,94.477936
1869,230.79659
1871,
1872,30.70458
1875,70.24559
1878,256.31903
1879,219.79285
1885,55.72481
1888,117.16877
1889,76.56963
1890,143.94388
1896,170.42317
1897,235.77321
1898,
1900,103.783714
1905,94.24497
1908,105.93917
1909,147.47346
1913,
1918,128.68378
1922,260.99786
1923,177.9719
1925,213.72113
1926,171.33339
1927,223.94899
1930,206.99596
1935,90.82052
1939,117.33378
1942,133.99585
1943,
1948,258.25974
1949,207.28258
1951,152.32613
1953,145.58156
1959,
1963,85.62533
1967,179.3348
1973,204.92682
1975,84.99363
1976,66.291214
1990,149.1342
1993,139.76454
1997,89.76861
1999,178.54272
2001,205.15874
2004,68.897514
2010,150.3463
2013,175.05914
2017,232.87062
2021,121.317986
2023,80.571815
2026,205.28227
2037,65.97608
2039,99.85856
2041,64.50754
2046,67.06919
2050,96.25117
2060,214.644
2067,150.83223
2069,202.82283
2072,217.65395
2074,197.03076
2079,161.58034
2083,77.80932
2085,100.851234
2087,83.45643
2093,184.10349
2094,86.282555
2097,87.75418
2103,116.240395
2104,
2107,235.26898
2108,67.17739
2110,22.534447
2115,224.63103
2117,86.97941
2125,227.38228
2127,254.30391
2133,68.499435
2134,248.42995
2135,155.97195
2141,230.7069
2143,77.96919
2145,65.636406
2146,113.617355
2147,213.39046
2148,
2149,
2165,136.1399
2166,194.06004
2177,108.5921
